id,name,description,maintain_stock,quantity,condition,warranty,created_at,updated_at,sort_order,disabled,reorder_at,taxable,upc_code,pdf,discount_percent,warranty_template_id,qb_item_id,vendor_id,desired_stock_level,notes,tax_rate_id,physical_location,xero_item_id,serialized,long_description,woo_description,woo_long_description,canonical_product_id,one_time_use,upsell_products,upsell_categories,is_shipping_product,nonbillable_time,delete,price_retail,price_cost,price_wholesale,category_path,vendor,JB Hi-Fi-SKU,Ubiquiti Warehouse-SKU,Asus-SKU,Leader Systems-SKU,Ebay-SKU,PC Case Gear-SKU,Edsys-SKU,MSY Balcatta-SKU,MSY Cannington-SKU,L&H Group-SKU,Ingram Micro-SKU,ACA Pacific-SKU,Bunnings-SKU,MM Electrical Merchandising-SKU,FairTel (Supplier)-SKU,PSA Parts-SKU,Sektor-SKU,Office Works-SKU,Synnex-SKU,serial_numbers
2146617,Contact log / Unbilled,Customer contact displayed on invoice,false,0,New,,2016-06-17 08:05:25 +0800,2022-11-15 12:54:25 +0800,,false,,true,Onsite - IT,"",,,3415769,,,"",37894,"",,false,,,,,false,[],[],,,"",0.0,0.0,0.0,Labour;Contact Log,,,,,,,,,,,,,,,,,,,,,
2146620,PowerSupply,600w ATX Power Supply,true,0,New,,2016-06-17 08:05:25 +0800,2022-11-15 12:44:32 +0800,,false,,true,PowerSupply,"",,18086,3415421,,,"",37894,"",,true,,,,,false,[],[],,,"",129.0,49.86,0.0,Hardware;Computer;Internal Components;PSU,PC Case Gear,,,,PSA1-8000,,,,,,,,,,,,,,,,""
2208108,Note,Invoice note,false,0,New,,2016-07-08 19:02:24 +0800,2023-08-17 15:58:59 +0800,,false,,true,Note,"",,,3415883,,,"",37894,"",,false,,,,,false,[],[],,,"",40.0,0.0,0.0,Software;Other Software,,,,,,,,,,,,,,,,,,,,,
2221275,Workshop - ITHS,Workshop labour - Home User Support,false,0,New,,2016-07-12 17:22:00 +0800,2026-01-23 15:30:37 +0800,20,false,,true,Workshop - IT,"",,,3415777,,,"",37894,"",,false,,,,,false,[],[],,,"",220.0,0.0,0.0,Labour;Labour  - Workshop,,,,,,,,,,,,,,,,,,,,,
2296218,Laptop Power Bank,"Cygnett ChargeUp Pro 25K mAh Laptop Power Bank -Black(CY4131PBCHE),2xUSB-C(100W PD/18W),1xUSB-A 18W,Total 118W,USB-C Cable,Triple Port,Digital Display
MPA-CG-CUP-25KPB-BLK",true,0,New,,2016-07-22 19:58:47 +0800,2024-03-19 14:15:37 +0800,,false,,true,UVC-G3-LED,"",,18086,3758541,,,"",37894,"",,true,,,,,false,[],[],,,"",199.0,148.5,0.0,Hardware;Cameras,Ubiquiti Warehouse,,,,,,,,,,,,,,,,,,,,""
2296263,UniFi Camera G3 Bullet,UniFi Video Camera G3 Bullet,true,0,New,,2016-07-22 21:24:35 +0800,2022-11-15 12:38:11 +0800,,false,,true,817882028103,"",,18086,3696961,,,"",37894,L101,,true,,,,,false,[],[],,,"",336.66,203.09,0.0,Hardware;Cameras,Ubiquiti Warehouse,,,,NHU-UVC-G3-BULLET-3,,,,,,,,,,,,,,,,""
2317460,Win Pro 64bit,Microsoft Windows 10 Pro 64bit OEM DVD,true,0,New,,2016-07-25 19:50:06 +0800,2023-12-12 16:44:39 +0800,,false,,true,Windows 10 Pro 64bit,"",,18086,3696968,,,"",37894,"",,true,,,,,false,[],[],,,"",279.0,192.5,0.0,Software;Other Software,PC Case Gear,,,,,,,,,,,,,,,,,,,,""
2317461,DDR4 32GB DIMM,DDR4 32GB RAM DIMM,true,0,New,,2016-07-25 19:57:13 +0800,2024-06-12 16:04:21 +0800,,false,,true,649528822475,"",,19021,3415431,,,"",37894,"",,true,,,,,false,[],[],,,"",304.0,198.0,0.0,Hardware;Computer;Internal Components;RAM,Office Works,,,,MED4-1X32G32,,,,,,,,,,,,,,,,""
2317471,250GB NVMe M.2 SSD,Samsung M.2 250GB SSD,true,0,New,,2016-07-25 20:32:56 +0800,2025-11-28 17:45:18 +0800,,false,1,true,8801643068684,"",,18624,3415435,,5,"",37894,"",,true,,,,,false,[],[],,,"",154.0,94.27,0.0,Hardware;Computer;Internal Components;SSD ,Leader Systems,,,,HBS-980PRONV-250G,,,,,,,,,,,,,,,,""
2317473,"12TB 3.5"" HDD","Seagate 12TB 3.5"" IronWolf SATA3 NAS 24x7 7200RPM Performance HDD ",true,0,New,,2016-07-25 20:42:06 +0800,2024-11-04 12:23:15 +0800,,false,,true,ST12000VN0008,"",,19023,3415403,,,"",37894,"",,true,,,,,false,[],[],,,"",354.0,456.5,0.0,Hardware;Computer;Internal Components;HDD,PC Case Gear,,,,HASEA12TB-IWNAS72,,,,,,,,,,,,,,,,""
